NPC类型ID	NPC模型路径	模型缩放比例	脚底选择框	物体缩放比例	特效缩放比例	NPC等级	NPC行为类型	NPC分类	NPC名字	名字颜色	名字显示	NPC称号	称号颜色	Title显示	NPC阵营	备注	备注显示	待机对话	NPC对话半身像	NPC目标小头像	Npc功能标志位	Npc功能类型	门派	职业	地图	采集类型	限制条件1	限制条件2	永久定点刷新	出生脚本	背景图	NPC_FLAGS	包围框高度	死亡脚本	动态障碍	坐骑id	目标头像框样式	走路动作频率修正	出生自带特效技能	死亡播放音效	被击播放音效	进入区域喊话ID	点击喊话ID	
26	"Data\player\3jiuli\female2\Actor\Actor.kfm"	1.000000	""	1.000000	1.000000	1	10	0	"羽神高模女主角"	0	1	""	0	0	0	""	0	""	""	4317002	0	0	0	0	0	0	111	0	1	0	""	0	0	0	0	0	4	1.000000.	0	207033	0	0	0	0	
10000100	"Data\npc\mon-human\1kunlun\tianjiang\Actor.kfm"	1.300000	""	1.000000	1.000000	80	10	0	"沐清风"	52	1	""	64	1	0	""	1	""	""	4311104	264	1	0	0	1	0	111	0	1	0	""	0	0	0	0	0	0	1.000000.	0	207023	0	1100001	1100001	0	
10000101	"Data\npc\npc-school\1kunlun\dongwanggong\Actor.kfm"	1.300000	""	1.000000	1.000000	100	10	0	"倪君明"	52	1	"东华帝君"	64	1	0	""	1	""	""	4313101	264	1	0	0	1	0	111	0	1	0	""	0	0	0	0	0	0	1.000000.	0	207021	0	0	0	0	
10000102	"Data\npc\mon-human\1kunlun\tianbing\Actor.kfm"	1.200000	""	1.000000	1.000000	80	10	0	"侍剑"	52	1	""	64	1	0	""	1	""	""	4311104	264	1	0	0	1	0	111	0	1	0	""	0	0	0	0	0	0	1.000000.	0	207022	0	0	0	0	
10000103	"Data\npc\npc-school\1kunlun\yunv\Actor.kfm"	1.200000	""	1.000000	1.000000	80	10	0	"玉女"	52	1	""	64	1	0	""	1	""	""	4313103	264	1	0	0	1	0	111	0	1	0	""	0	0	0	0	0	0	1.000000.	0	207031	0	0	0	0	
10000104	"Data\npc\npc-school\1kunlun\yunv\Actor.kfm"	1.200000	""	1.000000	1.000000	80	10	0	"龙吉公主"	52	1	""	64	1	0	""	1	""	""	4313103	264	1	0	0	1	0	111	0	1	0	""	0	0	0	0	0	0	1.000000.	0	207031	0	0	0	0	
10000105	"Data\npc\npc-other\toumingren\Actor.kfm"	0.700000	""	1.000000	1.000000	100	10	0	"昆仑镜"	52	1	""	64	1	0	""	1	""	""	4316002	264	1	0	0	1	0	111	0	1	0	"Textures\2DNPC\kongbai_128_128.tga"	0	0	0	0	0	0	1.000000.	0	0	0	0	0	0	
10000106	"Data\npc\mon-animal\2xuanyuan\huoniao01\Actor03.kfm"	0.650000	""	1.000000	1.000000	80	10	0	"青鸟"	52	1	"昆仑信使"	64	1	0	""	1	""	""	4312204	264	1	0	0	1	0	111	0	1	0	""	0	0	0	0	0	0	1.000000.	0	207061	0	0	0	0	
10000107	"Data\npc\npc-school\1kunlun\xiwangmu\Actor.kfm"	1.100000	""	1.000000	1.000000	100	10	0	"西王母"	52	1	"昆仑之主"	64	1	0	""	1	""	""	4313105	264	1	0	0	1	0	111	0	1	0	""	0	0	0	0	0	0	1.000000.	0	207033	0	0	0	0	
10000108	"Data\npc\npc-school\1kunlun\baize\Actor.kfm"	1.000000	""	1.200000	1.000000	100	10	0	"白泽"	52	1	"神兽"	64	1	0	""	1	""	""	4313102	264	1	0	0	1	0	111	0	1	0	""	0	0	0	0	0	0	1.000000.	0	207051	0	0	0	0	
10000109	"Data\npc\mon-human\1kunlun\tianbing\Actor.kfm"	1.000000	""	1.000000	1.000000	15	1032	0	"昆仑天兵"	52	1	"守卫"	64	1	0	""	1	""	""	4311104	264	0	0	0	1	0	311	0	0	0	""	0	0	0	0	0	0	1.800000.	0	207022	0	0	0	10000109	
10000110	"Data\npc\mon-human\1kunlun\tianbing\Actor.kfm"	1.200000	""	1.000000	1.000000	15	10000110	0	"昆仑天将"	52	1	""	64	1	0	""	1	""	""	4311104	264	0	0	0	1	0	311	0	0	0	""	0	0	0	0	0	0	1.800000.	0	207022	0	0	0	10000110	
10000125	"Data\npc\mon-human\1kunlun\tianjiang\Actor.kfm"	1.500000	""	1.000000	1.000000	15	1133	0	"昆仑神将"	52	1	""	64	1	0	""	1	""	""	4311104	264	0	0	0	1	0	311	0	0	0	""	0	0	0	0	0	0	1.800000.	0	207023	0	0	0	10000125	
10000127	"data\npc\mon-animal\2xuanyuan\huoniao01\Actor02.kfm"	0.200000	""	1.000000	1.000000	80	1032	0	""	52	1	""	64	1	0	""	1	""	""	4312204	8	1	0	0	1	0	111	0	0	0	""	0	0	0	0	200000107	0	1.000000.	0	207061	0	0	0	0	
10000128	"data\npc\mon-animal\1kunlun\deer01\Actor02.kfm"	0.700000	""	1.000000	1.000000	80	1032	0	""	52	1	""	64	1	0	""	1	""	""	4312101	8	1	0	0	1	0	111	0	0	0	""	0	0	0	0	0	0	1.000000.	0	207051	0	0	0	0	
10000129	"Data\player\1kunlun\male\Actor\Actor.kfm"	1.000000	""	1.000000	1.000000	80	1113	0	"飞霜剑"	52	1	""	64	1	0	""	1	""	""	4311111	8	0	0	0	1	0	111	0	0	0	""	0	0	0	0	0	0	1.000000.	0	207021	0	0	0	0	
10000130	"Data\player\1kunlun\female\Actor\Actor.kfm"	1.000000	""	1.000000	1.000000	80	1113	0	"六指琴"	52	1	""	64	1	0	""	1	""	""	4311114	8	0	0	0	1	0	111	0	0	0	""	0	0	0	0	0	0	1.000000.	0	207031	0	0	0	0	
10000131	"Data\player\2xuanyuan\male\Actor\Actor.kfm"	1.000000	""	1.000000	1.000000	80	1013	0	"霸王枪"	52	1	""	64	1	0	""	1	""	""	4317002	8	0	0	0	1	0	111	0	0	0	""	0	0	0	0	0	0	1.000000.	0	207022	0	0	0	0	
10000132	"Data\player\2xuanyuan\female\Actor\Actor.kfm"	1.000000	""	1.000000	1.000000	80	1013	0	"无影刀"	52	1	""	64	1	0	""	1	""	""	4314015	8	0	0	0	1	0	111	0	0	0	""	0	0	0	0	0	0	1.000000.	0	207032	0	0	0	0	
10000133	"Data\player\3jiuli\male\Actor\Actor.kfm"	1.000000	""	1.000000	1.000000	80	1013	0	"鬼泣爪"	52	1	""	64	1	0	""	1	""	""	4317002	8	0	0	0	1	0	111	0	0	0	""	0	0	0	0	0	0	1.000000.	0	207023	0	0	0	0	
10000134	"Data\player\3jiuli\female\Actor\Actor.kfm"	1.000000	""	1.000000	1.000000	80	1113	0	"落凤弓"	52	1	""	64	1	0	""	1	""	""	4314015	8	0	0	0	1	0	111	0	0	0	""	0	0	0	0	0	0	1.000000.	0	207033	0	0	0	0	
10000135	"Data\npc\NPC-common\chuansong\actor.kfm"	1.200000	""	1.000000	1.000000	80	10	0	"轻松活动1"	52	1	""	64	1	0	""	1	""	""	4317002	8	1	0	0	1	0	111	0	0	0	""	0	0	0	0	0	0	1.000000.	0	207032	0	0	0	0	
10000136	"Data\npc\NPC-common\shipingdian\actor.kfm"	1.200000	""	1.000000	1.000000	80	10	0	"轻松活动2"	52	1	""	64	1	0	""	1	""	""	4317005	8	1	0	0	1	0	111	0	0	0	""	0	0	0	0	0	0	1.000000.	0	207033	0	0	0	0	
10000137	"Data\npc\NPC-common\chuansong\actor.kfm"	1.200000	""	1.000000	1.000000	80	10	0	"交互活动1"	52	1	""	64	1	0	""	1	""	""	4317002	8	1	0	0	1	0	111	0	0	0	""	0	0	0	0	0	0	1.000000.	0	207032	0	0	0	0	
10000138	"Data\npc\NPC-common\zahuodian\actor.kfm"	1.200000	""	1.000000	1.000000	80	10	0	"交互活动2"	52	1	""	64	1	0	""	1	""	""	4317009	8	1	0	0	1	0	111	0	0	0	""	0	0	0	0	0	0	1.000000.	0	207032	0	0	0	0	
10000139	"Data\npc\mon-human\2xuanyuan\taoyong03\Actor.kfm"	1.000000	""	1.000000	1.000000	100	12000	0	"练功陶偶"	52	1	""	64	1	0	""	1	""	""	4311212	8	4	0	0	1	9003	111	0	0	0	""	0	0	0	0	0	0	1.000000.	0	207051	0	0	0	0	
10000140	"Data\npc\npc-school\1kunlun\yunv\Actor.kfm"	1.000000	""	1.000000	1.000000	80	10	0	"婢女"	52	1	""	64	1	0	""	1	""	""	4313103	264	1	0	0	1	0	111	0	0	0	""	0	0	0	0	0	0	1.000000.	0	207031	0	0	0	0	
10000141	"Data\npc\npc-school\1kunlun\jintong\Actor.kfm"	1.000000	""	1.000000	1.000000	100	10	0	"金童"	52	1	"前往通天墟"	64	1	0	""	1	""	""	4313104	264	1	0	0	1	0	111	0	1	0	""	0	0	0	0	0	0	1.000000.	0	207022	0	0	0	0	
10000143	"Data\npc\NPC-common\chuansong\actor.kfm"	1.200000	""	1.000000	1.000000	50	10	1	"灰姬"	52	1	""	64	1	0	"传送员"	1	""	""	4317002	264	1	0	0	1	0	111	0	1	0	""	0	0	0	0	0	1	1.000000.	0	207032	0	1010003	0	0	
10000144	"Data\npc\mon-human\1kunlun\tianjiang\Actor.kfm"	1.000000	""	1.000000	1.000000	100	10	0	"倪东"	52	1	"随从"	64	1	0	""	1	""	""	4311104	264	1	0	0	1	0	111	0	1	0	""	0	0	0	0	0	0	1.000000.	0	207023	0	0	0	0	
10000145	"Data\npc\mon-human\1kunlun\tianjiang\Actor.kfm"	1.000000	""	1.000000	1.000000	100	10	0	"倪南"	52	1	"随从"	64	1	0	""	1	""	""	4311104	264	1	0	0	1	0	111	0	1	0	""	0	0	0	0	0	0	1.000000.	0	207023	0	0	0	0	
10000146	"Data\npc\mon-human\1kunlun\tianjiang\Actor.kfm"	1.000000	""	1.000000	1.000000	100	10	0	"倪西"	52	1	"随从"	64	1	0	""	1	""	""	4311104	264	1	0	0	1	0	111	0	1	0	""	0	0	0	0	0	0	1.000000.	0	207023	0	0	0	0	
10000147	"Data\npc\mon-human\1kunlun\tianjiang\Actor.kfm"	1.000000	""	1.000000	1.000000	100	10	0	"倪北"	52	1	"随从"	64	1	0	""	1	""	""	4311104	264	1	0	0	1	0	111	0	1	0	""	0	0	0	0	0	0	1.000000.	0	207023	0	0	0	0	
10000148	"data\role\mon-boss\special-29\Actor.kfm"	1.000000	""	1.000000	1.000000	100	10	0	"灰"	52	1	"神秘人"	64	1	0	""	1	""	""	4314016	264	1	0	0	1	0	111	0	1	0	""	0	0	0	0	0	0	1.000000.	0	207042	0	1010001	0	0	
10000149	"Data\npc\mon-animal\2xuanyuan\shizi01\Actor02.kfm"	1.800000	""	1.000000	1.000000	100	10	0	"冰封魔王"	52	1	""	64	1	0	""	1	""	""	4312202	264	1	0	0	1	0	111	0	1	10000149	""	0	0	0	0	0	0	1.000000.	0	207051	0	0	0	0	
10000150	"Data\npc\npc-other\toumingren\Actor.kfm"	2.000000	""	1.000000	1.000000	100	10	0	"昆仑镜"	52	1	""	64	1	0	""	1	""	""	4316002	264	1	0	0	1	0	111	0	1	0	""	0	0	0	0	0	0	1.000000.	0	0	0	0	0	0	
10000151	"Data\npc\mon-animal\2xuanyuan\huoniao01\Actor03.kfm"	0.300000	""	1.000000	1.000000	100	10	0	"青一"	52	1	""	64	1	0	""	1	""	""	4312204	264	1	0	0	1	0	111	0	1	0	""	0	0	0	0	0	0	1.000000.	0	207061	0	0	0	0	
10000152	"Data\npc\mon-animal\2xuanyuan\huoniao01\Actor02.kfm"	0.250000	""	1.000000	1.000000	100	10	0	"青二"	52	1	""	64	1	0	""	1	""	""	4312204	264	1	0	0	1	0	111	0	1	0	""	0	0	0	0	0	0	1.000000.	0	207061	0	0	0	0	
10000153	"Data\npc\mon-animal\2xuanyuan\huoniao01\Actor01.kfm"	0.200000	""	1.000000	1.000000	100	10	0	"青三"	52	1	""	64	1	0	""	1	""	""	4312204	264	1	0	0	1	0	111	0	1	0	""	0	0	0	0	0	0	1.000000.	0	207061	0	0	0	0	
10000154	"Data\npc\NPC-task\fuxishi\actor.kfm"	1.000000	""	1.000000	1.000000	100	10	0	"伏羲"	52	1	"龙马秘境"	64	1	0	"龙马秘境"	1	""	""	4314016	264	1	0	0	1	0	111	0	1	0	""	0	0	0	0	0	0	1.000000.	0	207022	0	0	0	0	
10000155	"Data\npc\NPC-task\shennongshi\actor.kfm"	1.000000	""	1.000000	1.000000	100	10	0	"神农氏"	52	1	"巢穴秘境"	64	1	0	"巢穴秘境"	1	""	""	4314021	264	1	0	0	1	0	111	0	1	0	""	0	0	0	0	0	0	1.000000.	0	207024	0	1010002	0	0	
10000156	"Data\role\npc-city\special-01\Actor.kfm"	1.000000	""	1.000000	1.000000	100	10	0	"仓颉"	52	1	"天狐秘境"	64	1	0	"天狐秘境"	1	""	""	4314016	264	1	0	0	1	0	111	0	1	0	""	0	0	0	0	0	0	1.000000.	0	0	0	0	0	0	
10000157	"Data\npc\NPC-common\chuansong\actor.kfm"	1.000000	""	1.000000	1.000000	100	10	0	"灵灵妻"	52	1	""	64	1	0	"灵灵妻"	1	""	""	4317002	264	1	0	0	1	0	111	0	1	0	""	0	0	0	0	0	0	1.000000.	0	207032	0	1010004	0	0	
10000158	"data\npc\mon-animal\1kunlun\diexian01\actor01.kfm"	1.000000	""	1.000000	1.000000	100	10	0	"幻蝶之妖"	52	1	""	64	1	0	""	1	""	""	4312104	264	1	0	0	1	0	111	0	1	0	""	0	0	0	0	0	0	1.000000.	0	207071	0	0	0	0	
10000159	"data\npc\mon-human\1kunlun\shuren02\actor01.kfm"	1.000000	""	1.000000	1.000000	100	10	0	"古树精"	52	1	""	64	1	0	""	1	""	""	4311102	264	1	0	0	1	0	111	0	1	0	""	0	0	0	0	0	0	1.000000.	0	207051	0	0	0	0	
10000160	"data\npc\mon-animal\1kunlun\diao01\actor03.kfm"	1.000000	""	1.000000	1.000000	100	10	0	"风狸"	52	1	""	64	1	0	""	1	""	""	4312105	264	1	0	0	1	0	111	0	1	0	""	0	0	0	0	0	0	1.000000.	0	207051	0	0	0	0	
10000161	"Data\npc\npc-school\1kunlun\jintong\Actor.kfm"	1.000000	""	1.000000	1.000000	100	10	0	"活动使者"	52	1	"周六活动"	64	1	0	"周六活动"	1	""	""	4317002	264	1	0	0	1	0	111	0	1	0	""	0	0	0	0	0	0	1.000000.	0	207022	0	0	0	0	
10000162	"Data\role\npc-special\effect-01\actor.kfm"	1.000000	""	1.000000	1.000000	100	10	0	"圣诞树"	52	1	"周六活动"	64	1	0	"周六活动"	1	""	""	0	264	1	0	0	1	0	111	0	0	0	"Textures\2DNPC\shendanshu_248_274.tga"	0	0	0	0	0	0	1.000000.	0	0	0	0	0	0	
10000163	"Data\npc\npc-school\1kunlun\dongwanggong\Actor.kfm"	1.000000	""	1.000000	1.000000	100	10	0	"年兽饲养管"	52	1	"周日活动"	64	1	0	"周日活动"	1	""	""	4313101	264	1	0	0	1	0	111	0	1	0	"0"	0	0	0	0	0	0	1.000000.	0	207021	0	0	0	0	
10000171	"Data\role\npc-special\effect-01\actor.kfm"	1.000000	""	1.000000	1.000000	100	10	1	"圣诞树"	2	1	"圣诞快乐"	64	1	0	""	1	""	""	0	264	1	0	0	1	0	111	0	0	0	"Textures\2DNPC\shendanshu_248_274.tga"	0	0	0	0	0	0	1.000000.	0	0	0	0	0	0	
10000200	"data\npc\mon-human\2xuanyuan\jiangjun\actor.kfm"	1.200000	""	1.000000	1.000000	80	10	0	"王亥"	52	1	"轩辕大将"	64	1	0	""	1	""	""	4311204	264	1	0	0	2	0	111	0	1	0	""	0	0	0	0	0	0	1.000000.	0	207024	0	1200001	1200001	0	
10000201	"data\npc\mon-human\2xuanyuan\jiangjun\actor.kfm"	1.500000	""	1.000000	1.000000	100	10	0	"常先"	52	1	"轩辕四臣"	64	1	0	""	1	""	""	4311204	264	1	0	0	2	0	111	0	1	0	""	0	0	0	0	0	0	1.000000.	0	207024	0	0	0	0	
10000202	"Data\npc\npc-school\2xuanyuan\limu\Actor.kfm"	1.200000	""	1.000000	1.000000	80	10	0	"力牧"	52	1	"轩辕四臣"	64	1	0	""	1	""	""	4313203	264	1	0	0	2	0	111	0	1	0	""	0	0	0	0	0	0	1.000000.	0	207025	0	0	0	0	
10000203	"Data\npc\npc-school\2xuanyuan\leizu\Actor.kfm"	1.200000	""	1.000000	1.000000	80	10	0	"西陵嫘"	52	1	"黄帝元妃"	64	1	0	""	1	""	""	4313202	264	1	0	0	2	0	111	0	1	0	""	0	0	0	0	0	0	1.000000.	0	207032	0	0	0	0	
10000204	"Data\npc\npc-school\2xuanyuan\fenghou\Actor.kfm"	1.200000	""	1.000000	1.000000	80	10	0	"风后"	52	1	"轩辕四臣"	64	1	0	""	1	""	""	4313201	264	1	0	0	2	0	111	0	1	0	""	0	0	0	0	0	0	1.000000.	0	207023	0	0	0	0	
10000205	"Data\npc\npc-other\toumingren\Actor.kfm"	0.700000	""	2.000000	1.000000	100	10	0	"轩辕剑"	52	1	""	64	1	0	""	1	""	""	4316002	264	1	0	0	2	0	111	0	1	0	"Textures\2DNPC\empty.tga"	0	0	0	0	0	0	1.000000.	0	0	0	0	0	0	
10000206	"Data\role\npc-city\special-01\Actor.kfm"	1.650000	""	1.000000	1.000000	80	10	0	"仓颉"	52	1	"造字圣人"	64	1	0	""	0	""	""	4314016	264	1	0	1	2	0	111	0	1	0	"0"	0	0	0	0	0	0	1.000000.	0	0	0	0	0	0	
10000207	"Data\npc\npc-school\2xuanyuan\huangdi\Actor.kfm"	1.500000	""	1.000000	1.000000	100	10	0	"黄帝"	52	1	"轩辕之主"	64	1	0	""	1	""	""	4313206	264	1	0	0	2	0	111	0	1	0	""	0	0	0	0	0	0	1.000000.	0	207024	0	0	0	0	
10000208	"Data\npc\npc-school\2xuanyuan\yinglong\Actor.kfm"	0.900000	""	1.000000	1.000000	100	10	0	"应龙"	52	1	"神兽"	64	1	0	""	1	""	""	4313204	264	1	0	0	2	0	111	0	1	0	""	0	0	0	0	0	0	1.000000.	0	207021	0	0	0	0	
10000209	"Data\npc\mon-human\2xuanyuan\shibing\Actor.kfm"	1.000000	""	1.000000	1.000000	15	2033	0	"轩辕士兵"	52	1	""	64	1	0	""	1	""	""	4311204	264	0	0	0	2	0	311	0	0	0	""	0	0	0	0	0	0	1.800000.	0	207021	0	0	0	10000109	
10000210	"Data\npc\mon-human\2xuanyuan\shibing\Actor.kfm"	1.200000	""	1.000000	1.000000	15	10000210	0	"轩辕大将"	52	1	""	64	1	0	""	1	""	""	4311204	264	0	0	0	2	0	311	0	0	0	""	0	0	0	0	0	0	1.800000.	0	207021	0	0	0	10000210	
10000226	"Data\npc\mon-human\2xuanyuan\jiangjun\Actor.kfm"	1.500000	""	1.000000	1.000000	15	2133	0	"轩辕神将"	52	1	""	64	1	0	""	1	""	""	4311204	264	0	0	0	2	0	311	0	0	0	""	0	0	0	0	0	0	1.800000.	0	207024	0	0	0	10000125	
10000227	"data\npc\mon-animal\2xuanyuan\baozi01\Actor1.kfm"	1.000000	""	1.000000	1.000000	80	2032	0	""	52	1	""	64	1	0	""	1	""	""	4312208	8	1	0	0	2	0	111	0	0	0	""	0	0	0	0	0	0	2.000000.	0	207051	0	0	0	0	
10000228	"data\npc\mon-animal\2xuanyuan\huanxiong02\Actor3.kfm"	1.000000	""	1.000000	1.000000	80	2032	0	""	52	1	""	64	1	0	""	1	""	""	4312207	8	1	0	0	2	0	111	0	0	0	""	0	0	0	0	0	0	1.200000.	0	207051	0	0	0	0	
10000229	"Data\player\1kunlun\male\Actor\Actor.kfm"	1.000000	""	1.000000	1.000000	80	2113	0	"飞霜剑"	52	1	""	64	1	0	""	1	""	""	4311111	8	0	0	0	2	0	111	0	0	0	""	0	0	0	0	0	0	1.000000.	0	207021	0	0	0	0	
10000230	"Data\player\1kunlun\female\Actor\Actor.kfm"	1.000000	""	1.000000	1.000000	80	2113	0	"六指琴"	52	1	""	64	1	0	""	1	""	""	4311114	8	0	0	0	2	0	111	0	0	0	""	0	0	0	0	0	0	1.000000.	0	207031	0	0	0	0	
10000231	"Data\player\2xuanyuan\male\Actor\Actor.kfm"	1.000000	""	1.000000	1.000000	80	2013	0	"霸王枪"	52	1	""	64	1	0	""	1	""	""	4317002	8	0	0	0	2	0	111	0	0	0	""	0	0	0	0	0	0	1.000000.	0	207022	0	0	0	0	
10000232	"Data\player\2xuanyuan\female\Actor\Actor.kfm"	1.000000	""	1.000000	1.000000	80	2013	0	"无影刀"	52	1	""	64	1	0	""	1	""	""	4314015	8	0	0	0	2	0	111	0	0	0	""	0	0	0	0	0	0	1.000000.	0	207032	0	0	0	0	
10000233	"Data\player\3jiuli\male\Actor\Actor.kfm"	1.000000	""	1.000000	1.000000	80	2013	0	"鬼泣爪"	52	1	""	64	1	0	""	1	""	""	4317002	8	0	0	0	2	0	111	0	0	0	""	0	0	0	0	0	0	1.000000.	0	207023	0	0	0	0	
10000234	"Data\player\3jiuli\female\Actor\Actor.kfm"	1.000000	""	1.000000	1.000000	80	2113	0	"落凤弓"	52	1	""	64	1	0	""	1	""	""	4314015	8	0	0	0	2	0	111	0	0	0	""	0	0	0	0	0	0	1.000000.	0	207033	0	0	0	0	
10000235	"Data\npc\NPC-common\chuansong\actor.kfm"	1.200000	""	1.000000	1.000000	80	10	0	"轻松活动1"	52	1	""	64	1	0	""	1	""	""	4317002	8	1	0	0	2	0	111	0	0	0	""	0	0	0	0	0	0	1.000000.	0	207032	0	0	0	0	
10000236	"Data\npc\NPC-common\shipingdian\actor.kfm"	1.200000	""	1.000000	1.000000	80	10	0	"轻松活动2"	52	1	""	64	1	0	""	1	""	""	4317005	8	1	0	0	2	0	111	0	0	0	""	0	0	0	0	0	0	1.000000.	0	207033	0	0	0	0	
10000237	"Data\npc\NPC-common\chuansong\actor.kfm"	1.200000	""	1.000000	1.000000	80	10	0	"交互活动1"	52	1	""	64	1	0	""	1	""	""	4317002	8	1	0	0	2	0	111	0	0	0	""	0	0	0	0	0	0	1.000000.	0	207032	0	0	0	0	
10000238	"Data\npc\NPC-common\zahuodian\actor.kfm"	1.200000	""	1.000000	1.000000	80	10	0	"交互活动2"	52	1	""	64	1	0	""	1	""	""	4317009	8	1	0	0	2	0	111	0	0	0	""	0	0	0	0	0	0	1.000000.	0	207032	0	0	0	0	
