ID	名称	图标	是否DeBuff	表现类型1	特效ID1	绑定点1	表现类型2	特效ID2	绑定点2	表现类型3	特效ID3	绑定点3	buff等级	buff描述	变身typeid
111044	寒阴凝杀	1111104	1	0	0	0	0	0	0	0	0	0	4	法术防御降低20%	0
111045	寒阴凝杀	1111104	1	0	0	0	0	0	0	0	0	0	5	法术防御降低25%	0
111051	冰封千里	1111105	1	18	0	2D5AF9	1	500043	thorax	1	111052	root	1	定身，无法移动	0
111052	冰封千里	1111105	1	18	0	2D5AF9	1	500043	thorax	1	111052	root	2	定身，无法移动	0
111053	冰封千里	1111105	1	18	0	2D5AF9	1	500043	thorax	1	111052	root	3	定身，无法移动	0
111054	冰封千里	1111105	1	18	0	2D5AF9	1	500043	thorax	1	111052	root	4	定身，无法移动	0
111055	冰封千里	1111105	1	18	0	2D5AF9	1	500043	thorax	1	111052	root	5	定身，无法移动	0
111061	冰霜力场	1111106	0	18	0	2D5AF9	1	111061	static	0	0	0	1	可以吸收所有伤害，如果在持续时间内被打破则会发生冰爆	0
111062	冰霜力场	1111106	0	18	0	2D5AF9	1	111061	static	0	0	0	2	可以吸收所有伤害，如果在持续时间内被打破则会发生冰爆	0
111063	冰霜力场	1111106	0	18	0	2D5AF9	1	111061	static	0	0	0	3	可以吸收所有伤害，如果在持续时间内被打破则会发生冰爆	0
111064	冰霜力场	1111106	0	18	0	2D5AF9	1	111061	static	0	0	0	4	可以吸收所有伤害，如果在持续时间内被打破则会发生冰爆	0
111065	冰霜力场	1111106	0	18	0	2D5AF9	1	111061	static	0	0	0	5	可以吸收所有伤害，如果在持续时间内被打破则会发生冰爆	0
121050	神谕反噬	1112403	0	1	500044	head	0	0	0	0	0	0	1	因为释放了神谕庇护，受到反噬，无法释放技能	0
121051	神谕庇护	1112105	0	1	121052	static	0	0	0	0	0	0	1	无敌，无法被攻击	0
121052	神谕庇护	1112105	0	1	121052	static	0	0	0	0	0	0	2	无敌，无法被攻击	0
121053	神谕庇护	1112105	0	1	121052	static	0	0	0	0	0	0	3	无敌，无法被攻击	0
121054	神谕庇护	1112105	0	1	121052	static	0	0	0	0	0	0	4	无敌，无法被攻击	0
121055	神谕庇护	1112105	0	1	121052	static	0	0	0	0	0	0	5	无敌，无法被攻击	0
122011	诛心	1112201	1	1	122013	thorax	0	0	0	0	0	0	1	受到持续伤害	0
122012	诛心	1112201	1	1	122013	thorax	0	0	0	0	0	0	2	受到持续伤害	0
122013	诛心	1112201	1	1	122013	thorax	0	0	0	0	0	0	3	受到持续伤害	0
122014	诛心	1112201	1	1	122013	thorax	0	0	0	0	0	0	4	受到持续伤害	0
122015	诛心	1112201	1	1	122013	thorax	0	0	0	0	0	0	5	受到持续伤害	0
122021	勾魂	1112202	1	1	0	0	0	0	0	0	0	0	1	减速，移动速度降低12%	0
122022	勾魂	1112202	1	1	0	0	0	0	0	0	0	0	2	减速，移动速度降低14%	0
122023	勾魂	1112202	1	1	0	0	0	0	0	0	0	0	3	减速，移动速度降低16%	0
122024	勾魂	1112202	1	1	0	0	0	0	0	0	0	0	4	减速，移动速度降低18%	0
122025	勾魂	1112202	1	1	0	0	0	0	0	0	0	0	5	减速，移动速度降低20%	0
122031	摄魄	1112203	1	1	122064	thorax	0	0	0	0	0	0	1	定身，无法移动	0
122032	摄魄	1112203	1	1	122064	thorax	0	0	0	0	0	0	2	定身，无法移动	0
122033	摄魄	1112203	1	1	122064	thorax	0	0	0	0	0	0	3	定身，无法移动	0
122034	摄魄	1112203	1	1	122064	thorax	0	0	0	0	0	0	4	定身，无法移动	0
122035	摄魄	1112203	1	1	122064	thorax	0	0	0	0	0	0	5	定身，无法移动	0
122061	失心	1112206	1	1	122064	thorax	1	500041	head	0	0	0	1	眩晕，无法移动和使用技能	0
122062	失心	1112206	1	1	122064	thorax	1	500041	head	0	0	0	2	眩晕，无法移动和使用技能	0
122063	失心	1112206	1	1	122064	thorax	1	500041	head	0	0	0	3	眩晕，无法移动和使用技能	0
122064	失心	1112206	1	1	122064	thorax	1	500041	head	0	0	0	4	眩晕，无法移动和使用技能	0
122065	失心	1112206	1	1	122064	thorax	1	500041	head	0	0	0	5	眩晕，无法移动和使用技能	0
1220701	噬灵	1112207	1	1	0	0	0	0	0	0	0	0	1	受到治疗效果降低2%	0
1220702	噬灵	1112207	1	1	0	0	0	0	0	0	0	0	2	受到治疗效果降低4%	0
1220703	噬灵	1112207	1	1	0	0	0	0	0	0	0	0	3	受到治疗效果降低6%	0
1220704	噬灵	1112207	1	1	0	0	0	0	0	0	0	0	4	受到治疗效果降低8%	0
1220705	噬灵	1112207	1	1	0	0	0	0	0	0	0	0	5	受到治疗效果降低10%	0
211041	凌厉疾风	1121104	1	0	0	0	0	0	0	0	0	0	1	减速，移动速度降低10%	0
211042	凌厉疾风	1121104	1	0	0	0	0	0	0	0	0	0	2	减速，移动速度降低15%	0
211043	凌厉疾风	1121104	1	0	0	0	0	0	0	0	0	0	3	减速，移动速度降低20%	0
211044	凌厉疾风	1121104	1	0	0	0	0	0	0	0	0	0	4	减速，移动速度降低25%	0
211045	凌厉疾风	1121104	1	0	0	0	0	0	0	0	0	0	5	减速，移动速度降低30%	0
211051	震天	1121105	1	0	0	0	0	0	0	0	0	0	1	减速，移动速度降低10%	0
211052	震天	1121105	1	0	0	0	0	0	0	0	0	0	2	减速，移动速度降低15%	0
211053	震天	1121105	1	0	0	0	0	0	0	0	0	0	3	减速，移动速度降低20%	0
211054	震天	1121105	1	0	0	0	0	0	0	0	0	0	4	减速，移动速度降低25%	0
211055	震天	1121105	1	0	0	0	0	0	0	0	0	0	5	减速，移动速度降低30%	0
211061	旋风斩	1121106	0	20	11060	0	1	211061	root	15	211063	root	1	旋风斩，对周围目标造成伤害	0
211062	旋风斩	1121106	0	20	11060	0	1	211061	root	15	211063	root	2	旋风斩，对周围目标造成伤害	0
211063	旋风斩	1121106	0	20	11060	0	1	211061	root	15	211063	root	3	旋风斩，对周围目标造成伤害	0
211064	旋风斩	1121106	0	20	11060	0	1	211061	root	15	211063	root	4	旋风斩，对周围目标造成伤害	0
211065	旋风斩	1121106	0	20	11060	0	1	211061	root	15	211063	root	5	旋风斩，对周围目标造成伤害	0
211066	旋风斩	1121106	0	20	11060	0	1	211061	root	15	211063	root	6	旋风斩，对周围目标造成伤害	0
212021	刺	1121205	1	0	0	0	0	0	0	0	0	0	1	物理防御降低15%	0
212022	刺	1121205	1	0	0	0	0	0	0	0	0	0	2	物理防御降低15%	0
212023	刺	1121205	1	0	0	0	0	0	0	0	0	0	3	物理防御降低15%	0
212024	刺	1121205	1	0	0	0	0	0	0	0	0	0	4	物理防御降低15%	0
212025	刺	1121205	1	0	0	0	0	0	0	0	0	0	5	物理防御降低15%	0
212061	破	1121206	1	1	500041	head	2	113	0	0	0	0	1	眩晕，无法移动和使用技能	0
212062	破	1121206	1	1	500041	head	2	113	0	0	0	0	2	眩晕，无法移动和使用技能	0
212063	破	1121206	1	1	500041	head	2	113	0	0	0	0	3	眩晕，无法移动和使用技能	0
212064	破	1121206	1	1	500041	head	2	113	0	0	0	0	4	眩晕，无法移动和使用技能	0
212065	破	1121206	1	1	500041	head	2	113	0	0	0	0	5	眩晕，无法移动和使用技能	0
221011	开天	1122101	1	0	0	0	0	0	0	0	0	0	1	物理防御降低10%	0
221012	开天	1122101	1	0	0	0	0	0	0	0	0	0	2	物理防御降低10%	0
221013	开天	1122101	1	0	0	0	0	0	0	0	0	0	3	物理防御降低10%	0
221014	开天	1122101	1	0	0	0	0	0	0	0	0	0	4	物理防御降低10%	0
221015	开天	1122101	1	0	0	0	0	0	0	0	0	0	5	物理防御降低10%	0
221031	真武刃	1122103	1	1	221033	static	0	0	0	0	0	0	1	物理攻击降低10%	0
221032	真武刃	1122103	1	1	221033	static	0	0	0	0	0	0	2	物理攻击降低10%	0
221033	真武刃	1122103	1	1	221033	static	0	0	0	0	0	0	3	物理攻击降低10%	0
221034	真武刃	1122103	1	1	221033	static	0	0	0	0	0	0	4	物理攻击降低10%	0
221035	真武刃	1122103	1	1	221033	static	0	0	0	0	0	0	5	物理攻击降低10%	0
221051	血洒沙场	1122105	0	17	125	0	18	0	E60000	1	221051	static	1	物理攻击增加3%，但是会持续损耗自己的生命值	0
221052	血洒沙场	1122105	0	17	125	0	18	0	E60000	1	221051	static	2	物理攻击增加6%，但是会持续损耗自己的生命值	0
221053	血洒沙场	1122105	0	17	125	0	18	0	E60000	1	221051	static	3	物理攻击增加9%，但是会持续损耗自己的生命值	0
221054	血洒沙场	1122105	0	17	125	0	18	0	E60000	1	221051	static	4	物理攻击增加12%，但是会持续损耗自己的生命值	0
221055	血洒沙场	1122105	0	17	125	0	18	0	E60000	1	221051	static	5	物理攻击增加15%，但是会持续损耗自己的生命值	0
222031	真气护盾	1122203	0	1	222031	static	0	0	0	0	0	0	1	真气护盾，期间受到任何伤害降低12%并把这些伤害反弹给攻击者	0
222032	真气护盾	1122203	0	1	222031	static	0	0	0	0	0	0	2	真气护盾，期间受到任何伤害降低14%并把这些伤害反弹给攻击者	0
222033	真气护盾	1122203	0	1	222031	static	0	0	0	0	0	0	3	真气护盾，期间受到任何伤害降低16%并把这些伤害反弹给攻击者	0
222034	真气护盾	1122203	0	1	222031	static	0	0	0	0	0	0	4	真气护盾，期间受到任何伤害降低18%并把这些伤害反弹给攻击者	0
222035	真气护盾	1122203	0	1	222031	static	0	0	0	0	0	0	5	真气护盾，期间受到任何伤害降低20%并把这些伤害反弹给攻击者	0
222051	尖刺护盾	1122205	0	1	222051	static	0	0	0	0	0	0	1	尖刺护盾，期间受到不会受到任何伤害，但是自身攻击降低20%	0
222052	尖刺护盾	1122205	0	1	222051	static	0	0	0	0	0	0	2	尖刺护盾，期间受到不会受到任何伤害，但是自身攻击降低20%	0
222053	尖刺护盾	1122205	0	1	222051	static	0	0	0	0	0	0	3	尖刺护盾，期间受到不会受到任何伤害，但是自身攻击降低20%	0
222054	尖刺护盾	1122205	0	1	222051	static	0	0	0	0	0	0	4	尖刺护盾，期间受到不会受到任何伤害，但是自身攻击降低20%	0
222055	尖刺护盾	1122205	0	1	222051	static	0	0	0	0	0	0	5	尖刺护盾，期间受到不会受到任何伤害，但是自身攻击降低20%	0
222061	祝福护盾	1122206	0	1	222061	static	0	0	0	0	0	0	1	祝福护盾，期间受到任何技能效果都反射给对方，但是自身移动速度降低20%	0
222062	祝福护盾	1122206	0	1	222061	static	0	0	0	0	0	0	2	祝福护盾，期间受到任何技能效果都反射给对方，但是自身移动速度降低20%	0
222063	祝福护盾	1122206	0	1	222061	static	0	0	0	0	0	0	3	祝福护盾，期间受到任何技能效果都反射给对方，但是自身移动速度降低20%	0
222064	祝福护盾	1122206	0	1	222061	static	0	0	0	0	0	0	4	祝福护盾，期间受到任何技能效果都反射给对方，但是自身移动速度降低20%	0
222065	祝福护盾	1122206	0	1	222061	static	0	0	0	0	0	0	5	祝福护盾，期间受到任何技能效果都反射给对方，但是自身移动速度降低20%	0
222071	天神怒击	1122207	1	1	500041	head	0	0	0	0	0	0	1	眩晕，无法移动和使用技能	0
222072	天神怒击	1122207	1	1	500041	head	0	0	0	0	0	0	2	眩晕，无法移动和使用技能	0
222073	天神怒击	1122207	1	1	500041	head	0	0	0	0	0	0	3	眩晕，无法移动和使用技能	0
222074	天神怒击	1122207	1	1	500041	head	0	0	0	0	0	0	4	眩晕，无法移动和使用技能	0
222075	天神怒击	1122207	1	1	500041	head	0	0	0	0	0	0	5	眩晕，无法移动和使用技能	0
312021	飞燕	1131202	0	1	312021	thorax	0	0	0	0	0	0	1	飞燕，移动速度增加	0	
312022	飞燕	1131202	0	1	312021	thorax	0	0	0	0	0	0	2	飞燕，移动速度增加	0
312023	飞燕	1131202	0	1	312021	thorax	0	0	0	0	0	0	3	飞燕，移动速度增加	0	
312024	飞燕	1131202	0	1	312021	thorax	0	0	0	0	0	0	4	飞燕，移动速度增加	0	
312025	飞燕	1131202	0	1	312021	thorax	0	0	0	0	0	0	5	飞燕，移动速度增加	0	
312031	空蝉	1131203	0	1	312031	root	0	0	0	0	0	0	1	空蝉	0	
312032	空蝉	1131203	0	1	312031	root	0	0	0	0	0	0	2	空蝉	0
312033	空蝉	1131203	0	1	312031	root	0	0	0	0	0	0	3	空蝉	0	
312034	空蝉	1131203	0	1	312031	root	0	0	0	0	0	0	4	空蝉	0	
312035	空蝉	1131203	0	1	312031	root	0	0	0	0	0	0	5	空蝉	0	
312041	阴忍	1131204	0	1	312041	root	1011	0	0	0	0	0	1	阴忍	0	
312042	阴忍	1131204	0	1	312041	root	1011	0	0	0	0	0	2	阴忍	0
312043	阴忍	1131204	0	1	312041	root	1011	0	0	0	0	0	3	阴忍	0	
312044	阴忍	1131204	0	1	312041	root	1011	0	0	0	0	0	4	阴忍	0	
312045	阴忍	1131204	0	1	312041	root	1011	0	0	0	0	0	5	阴忍	0	
312051	阳忍	1131205	0	1	312051	root	0	0	0	0	0	0	1	阳忍	0	
312052	阳忍	1131205	0	1	312051	root	0	0	0	0	0	0	2	阳忍	0
312053	阳忍	1131205	0	1	312051	root	0	0	0	0	0	0	3	阳忍	0	
312054	阳忍	1131205	0	1	312051	root	0	0	0	0	0	0	4	阳忍	0	
312055	阳忍	1131205	0	1	312051	root	0	0	0	0	0	0	5	阳忍	0	
410371	魔剑的狡诈	1122403	1	1	500041	head	0	0	0	0	0	0	1	眩晕，无法移动和使用技能	0
410401	城门受损	1111205	1	0	0	0	0	0	0	0	0	0	1	城门着火了，变得更容易受损	0
410411	神兽的庇护	3310125	1	1	500077	root	0	0	0	0	0	0	1	神兽在庇护着你	0
410431	攻击方的愤怒	1121202	1	1	500077	root	0	0	0	0	0	0	1	攻城军的愤怒	0
410441	防御者的庇护	1122403	1	1	500077	root	0	0	0	0	0	0	1	防御者的庇护	0
410491	真龙形态	4312110	0	4	99999038	0	17	70	0	0	0	0	1	真龙形态	0
410501	真龙形态	4312110	0	4	99999020	0	17	90	0	0	0	0	1	真龙形态	0
410711	黒绳风暴	1121106	0	20	34	0	1	9001061	root	15	9001063	root	1	黒绳风暴，对周围目标造成伤害	0
410741	腐蚀	1112402	1	1	122013	thorax	0	0	0	0	0	0	1	受到持续伤害	0
410751	魅惑	1112205	1	1	500045	head	0	0	0	0	0	0	1	昏睡，受到伤害则被唤醒	0
410761	愤怒	1111203	0	18	0	E60000	17	200	0	0	0	0	1	愤怒，攻击和防御增加	0	
410771	龙族遗志	1122104	0	18	0	E60000	17	120	0	0	0	0	1	龙族遗志，攻击增加	0	
410811	骸骨盾	1122205	1	1	222051	static	0	0	0	0	0	0	1	受到伤害则恢复生命	0
410831	骷髅化	4311305	1	0	0	0	0	0	0	0	0	0	1	变成骷髅	0
460011	回春	1112305	0	1	500015	root	0	0	0	0	0	0	1	持续恢复生命	0
460021	化狐	4313302	0	1	0	0	0	0	0	0	0	0	1	化狐，变身为狐狸	0
460031	减速	1121407	1	1	0	0	0	0	0	0	0	0	1	减速，移动速度减少50%	0
460041	尖啸	1112407	1	1	500041	head	0	0	0	0	0	0	1	眩晕，无法移动和使用技能	0
460051	迷魂	1111402	1	1	500044	head	0	0	0	0	0	0	1	沉默，无法使用技能	0
460061	中毒	1112402	1	1	0	0	0	0	0	0	0	0	1	受到持续伤害	0
460071	感染	4312201	1	1	0	0	0	0	0	0	0	0	1	感染，变身为狼	30100154
460101	石化	1122403	1	18	0	101010	16	0	0	0	0	0	1	石化，无法移动和使用技能	0
460111	灼烧	1111401	1	18	0	E60000	1	500042	thorax	0	0	0	1	受到持续伤害	0
460121	狂化	1122403	0	1	0	0	0	0	0	0	0	0	1		0
460131	遁形	1122403	0	1	0	0	0	0	0	0	0	0	1		0
500051	变身	1122401	0	17	130	0	0	0	0	0	0	0	1	你感到一股奇异的力量	0
500061	浓雾	8100002	0	1000	500031	static	0	0	0	0	0	0	1	你身处在浓雾中	0
500191	变身	1122401	0	17	130	0	0	0	0	0	0	0	1	你感到一股奇异的力量	0
500251	变身	1122401	0	17	130	0	0	0	0	0	0	0	1	你感到一股奇异的力量	0
500261	变身	1122401	0	17	130	0	0	0	0	0	0	0	1	你感到一股奇异的力量	0
500271	食龙兽变身	4312203	0	17	200	0	0	0	0	0	0	0	1	你变身为食龙兽	30100124
500281	变身	4312303	0	4	99999025	0	0	0	0	0	0	0	1	你变身为歪歪熊	99999025
500291	变身	4311305	0	4	30101163	0	0	0	0	0	0	0	1	你变身为骷髅战士	30101163
500321	金灵气	1122203	0	0	0	0	0	0	0	0	0	0	1	开门灵气，五行属金	0
500331	土灵气	1103003	0	0	0	0	0	0	0	0	0	0	1	生门灵气，五行属土	0
500341	火灵气	1111203	0	0	0	0	0	0	0	0	0	0	1	景门灵气，五行属火	0
501601	减速	1111203	0	0	0	0	0	0	0	0	0	0	1		0
501611	审判	1111203	0	0	0	0	0	0	0	0	0	0	1		0
501612	剧情中	0	0	1000	500160	static	0	0	0	0	0	0	1	剧情中！	0
900031	低级回复药	3300104	0	1	500015	root	0	0	0	0	0	0	1	持续恢复生命，每2秒回复生命值100	0
900032	中级回复药	3300105	0	1	500015	root	0	0	0	0	0	0	1	持续恢复生命，每2秒回复生命值200	0
900033	高级回复药	3300106	0	1	500015	root	0	0	0	0	0	0	1	持续恢复生命，每2秒回复生命值400	0
900034	特级回复药	3300116	0	1	500015	root	0	0	0	0	0	0	1	持续恢复生命，每2秒回复生命值600	0
900035	顶级回复药	3300117	0	1	500015	root	0	0	0	0	0	0	1	持续恢复生命，每2秒回复生命值800	0
900041	低级聚灵水	3300110	0	1	500017	root	0	0	0	0	0	0	1	持续恢复法力，每2秒回复法力值200	0
900042	中级聚灵水	3300111	0	1	500017	root	0	0	0	0	0	0	1	持续恢复法力，每2秒回复法力值500	0
900043	高级聚灵水	3300112	0	1	500017	root	0	0	0	0	0	0	1	持续恢复法力，每2秒回复法力值800	0
900044	特级聚灵水	3300122	0	1	500017	root	0	0	0	0	0	0	1	持续恢复法力，每2秒回复法力值1200	0
900045	顶级聚灵水	3300123	0	1	500017	root	0	0	0	0	0	0	1	持续恢复法力，每2秒回复法力值1800	0
900051	缩骨丸	3300401	0	17	75	0	0	0	0	0	0	0	1	你的体型缩小了	0
900061	巨人丸	3300402	0	17	125	0	0	0	0	0	0	0	1	你的体型变大了	0
900071	攻击神符	3300403	0	1	500073	b_rh	1	500073	b_lh	0	0	0	1	物理攻击和法术攻击增加100%，持续120秒	0
900081	中攻击符	3300404	0	1	500073	b_rh	1	500073	b_lh	0	0	0	1	物理攻击和法术攻击增加100，持续180秒	0
900101	速度神符	3300403	0	1	500078	thorax	0	0	0	0	0	0	1	移动速度增加50%，持续120秒	0
900111	千人斩！	1121405	0	1009	500125	thorax	1	500128	thorax	0	0	0	1	完成了千人斩的壮举！	0
112051	逐日天锁	1111205	1	1	112055	thorax	1	112056	root	0	0	0	1	定身，无法移动	0
112052	逐日天锁	1111205	1	1	112055	thorax	1	112056	root	0	0	0	2	定身，无法移动	0
112053	逐日天锁	1111205	1	1	112055	thorax	1	112056	root	0	0	0	3	定身，无法移动	0
112054	逐日天锁	1111205	1	1	112055	thorax	1	112056	root	0	0	0	4	定身，无法移动	0
112055	逐日天锁	1111205	1	1	112055	thorax	1	112056	root	0	0	0	5	定身，无法移动	0
1130211	寒邪	1111302	1	0	0	0	0	0	0	0	0	0	1	减速，移动速度降低2%	
1130212	寒邪	1111302	1	0	0	0	0	0	0	0	0	0	2	减速，移动速度降低4%	
1130213	寒邪	1111302	1	0	0	0	0	0	0	0	0	0	3	减速，移动速度降低6%	
1130214	寒邪	1111302	1	0	0	0	0	0	0	0	0	0	4	减速，移动速度降低8%	
1130215	寒邪	1111302	1	0	0	0	0	0	0	0	0	0	5	减速，移动速度降低10%	
1130411	冻结	1111304	1	18	0	2D5AF9	16	0	0	1	111042	static	1	冻结，无法移动和使用技能，受到伤害则中断	0
1130412	冻结	1111304	1	18	0	2D5AF9	16	0	0	1	111042	static	2	冻结，无法移动和使用技能，受到伤害则中断	0
1130413	冻结	1111304	1	18	0	2D5AF9	16	0	0	1	111042	static	3	冻结，无法移动和使用技能，受到伤害则中断	0
