类型ID	有效标志位	名称	部位	颜色	门派职业限制	等级限制	表现类型ID	性别限制	有效期限	允许续费	时间限制ID	允许超时	地点限制ID	允许离开	携带数量上限ID	可否存入仓库	使用次数限制ID	变身模板限制ID	可否修复	最大耐久	耐久扣减速度	鉴定方式	鉴定品质系数	绑定方式	出售设置	丢弃设置	金币价格	声望价格	家族价格	荣誉价格	师德价格	强化规则ID	打孔镶嵌摘除规则ID	铭刻规则ID	附魔规则ID	回炉规则ID	分解规则ID	白色属性池ID	白色属性等级	蓝色属性池ID	蓝色属性数下限	蓝色属性数上限	蓝色属性等级	技能激活池ID	所属套装ID	模型路径	模型类别	图标前景ID	图标背景ID	掉落图标ID	装备特效规则ID	描述文本	攻击间隔	掉落特效ID	碎片ID	碎片数量
1100110	1	破浪	0	1	11	9	11	0	-1	0	0	0	0	0	0	0	0	0	1	10000	1	0	1	2	1	0	200	10000	100	100	100	1100010	0	2	11	1100110	10	1001000	15	2001000	1	1	9	0	0	Data/player/9weapon/010sword.nif	0	2001106	9000001	7001100	11010	""	350	0	0	0
1200110	1	海弦	0	1	12	9	12	0	-1	0	0	0	0	0	0	0	0	0	1	10000	1	0	1	2	1	0	200	10000	100	100	100	1100010	0	2	11	1200110	10	1001000	15	2001000	1	1	9	0	0	Data/player/9weapon/010piano.nif	21	2001206	9000001	7001200	12010	""	350	0	0	0
11000110	1	雪浪帽	1	1	10	16	110	0	-1	0	0	0	0	0	0	0	0	0	1	10000	1	0	9	0	1	0	120	10000	100	100	100	11100010	0	2	11	11000110	10011	1011000	15	2011000	1	1	17	0	0	Data/player/1kunlun/%s/001hair.nif	1	2011000	9000000	7011000	0	""	-1	0	0	0
21000110	1	汇洋[攻击]	2	1	10	26	210	0	-1	0	0	0	0	0	0	0	0	0	1	10000	1	0	5	2	1	0	290	10000	100	100	100	21100010	0	2	11	21000110	10011	1021000	5	2021000	1	1	4	0	0	0	0	2021000	9000000	7021000	0	""	-1	0	0	0
31000110	1	流水[物防]	3	1	10	24	310	0	-1	0	0	0	0	0	0	0	0	0	1	10000	1	0	5	2	1	0	100	10000	100	100	100	31100010	0	2	11	31000110	10011	1031000	5	2031000	1	1	4	0	0	0	0	2031000	9000000	7031000	0	""	-1	0	0	0
41000110	1	雪浪护肩	4	1	10	26	410	0	-1	0	0	0	0	0	0	0	0	0	1	10000	1	0	9	0	1	0	220	10000	100	100	100	41100010	0	2	11	41000110	10011	1041000	15	2041000	1	1	17	0	0	Data/player/1kunlun/%s/001sdr.nif	4	2041000	9000000	7041000	0	""	-1	0	0	0
51000110	1	雪浪裳	5	1	10	24	510	0	-1	0	0	0	0	0	0	0	0	0	1	10000	1	0	1	2	1	0	190	10000	100	100	100	51100010	0	2	11	51000110	10011	1051000	15	2051000	1	1	9	0	0	Data/player/1kunlun/%s/001body.nif	5	2051000	9000000	7051000	510001	""	-1	0	0	0
61000110	1	雪浪带	6	1	10	25	610	0	-1	0	0	0	0	0	0	0	0	0	1	10000	1	0	1	2	1	0	100	10000	100	100	100	61100010	0	2	11	61000110	10011	1061000	15	2061000	1	1	9	0	0	0	0	2061000	9000000	7061000	0	""	-1	0	0	0
71000110	1	雪浪裤	7	1	10	20	710	0	-1	0	0	0	0	0	0	0	0	0	1	10000	1	0	1	2	1	0	160	10000	100	100	100	71100010	0	2	11	71000110	10011	1071000	15	2071000	1	1	9	0	0	0	0	2071000	9000000	7071000	0	""	-1	0	0	0
81000110	1	雪浪履	8	1	10	22	810	0	-1	0	0	0	0	0	0	0	0	0	1	10000	1	0	9	0	1	0	210	10000	100	100	100	81100010	0	2	11	81000110	10011	1081000	15	2081000	1	1	17	0	0	0	0	2081000	9000000	7081000	0	""	-1	0	0	0
91000110	0	雪浪护腕	9	1	10	1	910	0	-1	0	0	0	0	0	0	0	0	0	1	10000	1	0	9	2	1	0	100	10000	100	100	100	91100010	0	2	11	91000110	10011	1091000	15	2091000	1	1	17	0	0	0	0	2091000	9000000	7091000	0	""	-1	0	0	0
101000110	1	雪浪手套	10	1	10	14	1010	0	-1	0	0	0	0	0	0	0	0	0	1	10000	1	0	9	0	1	0	160	10000	100	100	100	101100010	0	2	11	101000110	10011	1101000	15	2101000	1	1	17	0	0	0	0	2101000	9000000	7101000	0	""	-1	0	0	0
111000110	1	微波[攻击]	11	1	10	26	1110	0	-1	0	0	0	0	0	0	0	0	0	1	10000	1	0	5	2	1	0	100	10000	100	100	100	111100010	0	2	11	111000110	10011	1111000	5	2111000	1	1	4	0	0	0	0	2111000	9000000	7111000	0	""	-1	0	0	0
1100120	1	碧海	0	2	11	9	11	0	-1	0	0	0	0	0	0	0	0	0	1	10000	1	0	2	2	1	0	1000	10000	100	100	100	1100020	0	2	11	1100120	10	1001000	31	2001010	3	3	15	0	0	Data/player/9weapon/001sword.nif	0	2001100	9000000	7001100	11001	""	350	0	0	0
1200120	1	冰魄	0	2	12	9	12	0	-1	0	0	0	0	0	0	0	0	0	1	10000	1	0	2	2	1	0	1000	10000	100	100	100	1100020	0	2	11	1200120	10	1001000	31	2001010	3	3	15	0	0	Data/player/9weapon/001piano.nif	21	2001200	9000000	7001200	12001	""	350	0	0	0
11000120	1	彩云冠	1	2	10	16	110	0	-1	0	0	0	0	0	0	0	0	0	1	10000	1	0	10	0	1	0	600	10000	100	100	100	11100020	0	2	11	11000120	10011	1011000	31	2011010	2	2	17	0	0	Data/player/1kunlun/%s/001hair.nif	1	2011000	9000000	7011000	0	""	-1	0	0	0
21000120	1	离坎[攻击]	2	2	10	26	210	0	-1	0	0	0	0	0	0	0	0	0	1	10000	1	0	6	2	1	0	1450	10000	100	100	100	21100020	0	2	11	21000120	10011	1021000	10	2021010	2	2	7	0	0	0	0	2021000	9000000	7021000	0	""	-1	0	0	0
31000120	1	碧海披风[物防]	3	2	10	24	310	0	-1	0	0	0	0	0	0	0	0	0	1	10000	1	0	6	2	1	0	500	10000	100	100	100	31100020	0	2	11	31000120	10011	1031000	10	2031010	2	2	7	0	0	0	0	2031000	9000000	7031000	0	""	-1	0	0	0
41000120	1	碧海护肩	4	2	10	26	410	0	-1	0	0	0	0	0	0	0	0	0	1	10000	1	0	10	0	1	0	1100	10000	100	100	100	41100020	0	2	11	41000120	10011	1041000	31	2041010	2	2	17	0	0	Data/player/1kunlun/%s/001sdr.nif	4	2041000	9000000	7041000	0	""	-1	0	0	0
51000120	1	沐风裳	5	2	10	24	510	0	-1	0	0	0	0	0	0	0	0	0	1	10000	1	0	2	2	1	0	950	10000	100	100	100	51100020	0	2	11	51000120	10011	1051000	31	2051010	3	3	15	0	0	Data/player/1kunlun/%s/001body.nif	5	2051000	9000000	7051000	510001	""	-1	0	0	0
61000120	1	碧海带	6	2	10	25	610	0	-1	0	0	0	0	0	0	0	0	0	1	10000	1	0	2	2	1	0	500	10000	100	100	100	61100020	0	2	11	61000120	10011	1061000	31	2061010	3	3	15	0	0	0	0	2061000	9000000	7061000	0	""	-1	0	0	0
71000120	1	舞风裙	7	2	10	20	710	0	-1	0	0	0	0	0	0	0	0	0	1	10000	1	0	2	2	1	0	800	10000	100	100	100	71100020	0	2	11	71000120	10011	1071000	31	2071010	3	3	15	0	0	0	0	2071000	9000000	7071000	0	""	-1	0	0	0
81000120	1	碧海靴	8	2	10	22	810	0	-1	0	0	0	0	0	0	0	0	0	1	10000	1	0	10	0	1	0	1050	10000	100	100	100	81100020	0	2	11	81000120	10011	1081000	31	2081010	2	2	17	0	0	0	0	2081000	9000000	7081000	0	""	-1	0	0	0
91000120	0	碧海护腕	9	2	10	1	910	0	-1	0	0	0	0	0	0	0	0	0	1	10000	1	0	10	2	1	0	500	10000	100	100	100	91100020	0	2	11	91000120	10011	1091000	31	2091010	2	2	17	0	0	0	0	2091000	9000000	7091000	0	""	-1	0	0	0
101000120	1	碧海手套	10	2	10	14	1010	0	-1	0	0	0	0	0	0	0	0	0	1	10000	1	0	10	0	1	0	800	10000	100	100	100	101100020	0	2	11	101000120	10011	1101000	31	2101010	2	2	17	0	0	0	0	2101000	9000000	7101000	0	""	-1	0	0	0
111000120	1	冰火[攻击]	11	2	10	26	1110	0	-1	0	0	0	0	0	0	0	0	0	1	10000	1	0	6	2	1	0	500	10000	100	100	100	111100020	0	2	11	111000120	10011	1111000	10	2111010	2	2	7	0	0	0	0	2111000	9000000	7111000	0	""	-1	0	0	0
1100130	1	碧海	0	3	11	9	11	0	-1	0	0	0	0	0	0	0	0	0	1	10000	1	0	3	2	1	0	4000	10000	100	100	100	1100030	0	2	11	1100130	10	1001000	48	2001010	3	3	19	0	0	Data/player/9weapon/001sword.nif	0	2001100	9000000	7001100	11001	""	350	0	0	0
1200130	1	冰魄	0	3	12	9	12	0	-1	0	0	0	0	0	0	0	0	0	1	10000	1	0	3	2	1	0	4000	10000	100	100	100	1100030	0	2	11	1200130	10	1001000	48	2001010	3	3	19	0	0	Data/player/9weapon/001piano.nif	21	2001200	9000000	7001200	12001	""	350	0	0	0
11000130	1	彩云冠	1	3	10	16	110	0	-1	0	0	0	0	0	0	0	0	0	1	10000	1	0	11	2	1	0	2400	10000	100	100	100	11100030	0	2	11	11000130	10011	1011000	48	2011010	3	3	17	0	0	Data/player/1kunlun/%s/001hair.nif	1	2011000	9000000	7011000	0	""	-1	0	0	0
21000130	1	离坎[攻击]	2	3	10	26	210	0	-1	0	0	0	0	0	0	0	0	0	1	10000	1	0	7	2	1	0	5800	10000	100	100	100	21100030	0	2	11	21000130	10011	1021000	16	2021010	2	2	9	0	0	0	0	2021000	9000000	7021000	0	""	-1	0	0	0
31000130	1	碧海披风[物防]	3	3	10	24	310	0	-1	0	0	0	0	0	0	0	0	0	1	10000	1	0	7	2	1	0	2000	10000	100	100	100	31100030	0	2	11	31000130	10011	1031000	16	2031010	2	2	9	0	0	0	0	2031000	9000000	7031000	0	""	-1	0	0	0
41000130	1	碧海护肩	4	3	10	26	410	0	-1	0	0	0	0	0	0	0	0	0	1	10000	1	0	11	2	1	0	4400	10000	100	100	100	41100030	0	2	11	41000130	10011	1041000	48	2041010	3	3	17	0	0	Data/player/1kunlun/%s/001sdr.nif	4	2041000	9000000	7041000	0	""	-1	0	0	0
51000130	1	沐风裳	5	3	10	24	510	0	-1	0	0	0	0	0	0	0	0	0	1	10000	1	0	3	2	1	0	3800	10000	100	100	100	51100030	0	2	11	51000130	10011	1051000	48	2051010	3	3	19	0	0	Data/player/1kunlun/%s/001body.nif	5	2051000	9000000	7051000	510001	""	-1	0	0	0
61000130	1	碧海带	6	3	10	25	610	0	-1	0	0	0	0	0	0	0	0	0	1	10000	1	0	3	2	1	0	2000	10000	100	100	100	61100030	0	2	11	61000130	10011	1061000	48	2061010	3	3	19	0	0	0	0	2061000	9000000	7061000	0	""	-1	0	0	0
71000130	1	舞风裙	7	3	10	20	710	0	-1	0	0	0	0	0	0	0	0	0	1	10000	1	0	3	2	1	0	3200	10000	100	100	100	71100030	0	2	11	71000130	10011	1071000	48	2071010	3	3	19	0	0	0	0	2071000	9000000	7071000	0	""	-1	0	0	0
81000130	1	碧海靴	8	3	10	22	810	0	-1	0	0	0	0	0	0	0	0	0	1	10000	1	0	11	2	1	0	4200	10000	100	100	100	81100030	0	2	11	81000130	10011	1081000	48	2081010	3	3	17	0	0	0	0	2081000	9000000	7081000	0	""	-1	0	0	0
91000130	0	碧海护腕	9	3	10	1	910	0	-1	0	0	0	0	0	0	0	0	0	1	10000	1	0	11	2	1	0	2000	10000	100	100	100	91100030	0	2	11	91000130	10011	1091000	48	2091010	3	3	17	0	0	0	0	2091000	9000000	7091000	0	""	-1	0	0	0
101000130	1	碧海手套	10	3	10	14	1010	0	-1	0	0	0	0	0	0	0	0	0	1	10000	1	0	11	2	1	0	3200	10000	100	100	100	101100030	0	2	11	101000130	10011	1101000	48	2101010	3	3	17	0	0	0	0	2101000	9000000	7101000	0	""	-1	0	0	0
111000130	1	冰火[攻击]	11	3	10	26	1110	0	-1	0	0	0	0	0	0	0	0	0	1	10000	1	0	7	2	1	0	2000	10000	100	100	100	111100030	0	2	11	111000130	10011	1111000	16	2111010	2	2	9	0	0	0	0	2111000	9000000	7111000	0	""	-1	0	0	0
1100140	1	碧海	0	4	11	9	11	0	-1	0	0	0	0	0	0	0	0	0	1	10000	1	0	4	2	1	0	12000	10000	100	100	100	1100040	0	2	11	1100140	10	1001000	69	2001010	3	3	24	0	0	Data/player/9weapon/001sword.nif	0	2001100	9000000	7001100	11001	""	350	0	0	0
1200140	1	冰魄	0	4	12	9	12	0	-1	0	0	0	0	0	0	0	0	0	1	10000	1	0	4	2	1	0	12000	10000	100	100	100	1100040	0	2	11	1200140	10	1001000	69	2001010	3	3	24	0	0	Data/player/9weapon/001piano.nif	21	2001200	9000000	7001200	12001	""	350	0	0	0
11000140	1	彩云冠	1	4	10	16	110	0	-1	0	0	0	0	0	0	0	0	0	1	10000	1	0	12	2	1	0	7200	10000	100	100	100	11100040	0	2	11	11000140	10011	1011000	69	2011010	4	4	17	0	0	Data/player/1kunlun/%s/001hair.nif	1	2011000	9000000	7011000	0	""	-1	0	0	0
21000140	1	离坎[攻击]	2	4	10	26	210	0	-1	0	0	0	0	0	0	0	0	0	1	10000	1	0	8	2	1	0	17400	10000	100	100	100	21100040	0	2	11	21000140	10011	1021000	23	2021010	2	2	12	0	0	0	0	2021000	9000000	7021000	0	""	-1	0	0	0
31000140	1	碧海披风[物防]	3	4	10	24	310	0	-1	0	0	0	0	0	0	0	0	0	1	10000	1	0	8	2	1	0	6000	10000	100	100	100	31100040	0	2	11	31000140	10011	1031000	23	2031010	2	2	12	0	0	0	0	2031000	9000000	7031000	0	""	-1	0	0	0
41000140	1	碧海护肩	4	4	10	26	410	0	-1	0	0	0	0	0	0	0	0	0	1	10000	1	0	12	2	1	0	13200	10000	100	100	100	41100040	0	2	11	41000140	10011	1041000	69	2041010	4	4	17	0	0	Data/player/1kunlun/%s/001sdr.nif	4	2041000	9000000	7041000	0	""	-1	0	0	0
51000140	1	沐风裳	5	4	10	24	510	0	-1	0	0	0	0	0	0	0	0	0	1	10000	1	0	4	2	1	0	11400	10000	100	100	100	51100040	0	2	11	51000140	10011	1051000	69	2051010	3	3	24	0	0	Data/player/1kunlun/%s/001body.nif	5	2051000	9000000	7051000	510001	""	-1	0	0	0
61000140	1	碧海带	6	4	10	25	610	0	-1	0	0	0	0	0	0	0	0	0	1	10000	1	0	4	2	1	0	6000	10000	100	100	100	61100040	0	2	11	61000140	10011	1061000	69	2061010	3	3	24	0	0	0	0	2061000	9000000	7061000	0	""	-1	0	0	0
71000140	1	舞风裙	7	4	10	20	710	0	-1	0	0	0	0	0	0	0	0	0	1	10000	1	0	4	2	1	0	9600	10000	100	100	100	71100040	0	2	11	71000140	10011	1071000	69	2071010	3	3	24	0	0	0	0	2071000	9000000	7071000	0	""	-1	0	0	0
81000140	1	碧海靴	8	4	10	22	810	0	-1	0	0	0	0	0	0	0	0	0	1	10000	1	0	12	2	1	0	12600	10000	100	100	100	81100040	0	2	11	81000140	10011	1081000	69	2081010	4	4	17	0	0	0	0	2081000	9000000	7081000	0	""	-1	0	0	0
91000140	0	碧海护腕	9	4	10	1	910	0	-1	0	0	0	0	0	0	0	0	0	1	10000	1	0	12	2	1	0	6000	10000	100	100	100	91100040	0	2	11	91000140	10011	1091000	69	2091010	4	4	17	0	0	0	0	2091000	9000000	7091000	0	""	-1	0	0	0
101000140	1	碧海手套	10	4	10	14	1010	0	-1	0	0	0	0	0	0	0	0	0	1	10000	1	0	12	2	1	0	9600	10000	100	100	100	101100040	0	2	11	101000140	10011	1101000	69	2101010	4	4	17	0	0	0	0	2101000	9000000	7101000	0	""	-1	0	0	0
111000140	1	冰火[攻击]	11	4	10	26	1110	0	-1	0	0	0	0	0	0	0	0	0	1	10000	1	0	8	2	1	0	6000	10000	100	100	100	111100040	0	2	11	111000140	10011	1111000	23	2111010	2	2	12	0	0	0	0	2111000	9000000	7111000	0	""	-1	0	0	0
1103000	1	破尘	0	0	11	30	11	0	-1	0	0	0	0	0	0	0	0	0	1	10000	1	0	1	0	0	0	200	10000	100	100	100	0	0	1	10	1103000	10	1001000	18	2001000	0	0	0	0	0	Data/player/9weapon/030sword.nif	0	2001101	9000001	7001100	11030	""	350	0	0	0
1203000	1	风曲	0	0	12	30	12	0	-1	0	0	0	0	0	0	0	0	0	1	10000	1	0	1	0	0	0	200	10000	100	100	100	0	0	1	10	1203000	10	1001000	18	2001000	0	0	0	0	0	Data/player/9weapon/030piano.nif	21	2001201	9000001	7001200	12030	""	350	0	0	0
11003000	1	沐风帽	1	0	10	34	110	0	-1	0	0	0	0	0	0	0	0	0	1	10000	1	0	1	0	0	0	110	10000	100	100	100	0	0	1	10	11003000	10011	1011000	18	2011000	0	0	0	0	0	Data/player/1kunlun/%s/030hair.nif	1	2011001	9000001	7011000	0	""	-1	0	0	0
21003000	1	步风[攻击]	2	0	10	30	210	0	-1	0	0	0	0	0	0	0	0	0	1	10000	1	0	1	0	0	0	195	10000	100	100	100	0	0	1	10	21003000	10011	1021000	6	2021000	0	0	0	0	0	0	0	2021001	9000001	7021000	0	""	-1	0	0	0
31003000	1	舞风[物防]	3	0	10	30	310	0	-1	0	0	0	0	0	0	0	0	0	1	10000	1	0	1	0	0	0	100	10000	100	100	100	0	0	1	10	31003000	10011	1031000	6	2031000	0	0	0	0	0	0	0	2031001	9000001	7031000	0	""	-1	0	0	0
41003000	1	沐风护肩	4	0	10	47	410	0	-1	0	0	0	0	0	0	0	0	0	1	10000	1	0	1	0	0	0	160	10000	100	100	100	0	0	1	10	41003000	10011	1041000	18	2041000	0	0	0	0	0	Data/player/1kunlun/%s/030sdr.nif	4	2041001	9000001	7041000	0	""	-1	0	0	0
51003000	1	沐风裳	5	0	10	36	510	0	-1	0	0	0	0	0	0	0	0	0	1	10000	1	0	1	0	0	0	145	10000	100	100	100	0	0	1	10	51003000	10011	1051000	18	2051000	0	0	0	0	0	Data/player/1kunlun/%s/030body.nif	5	2051001	9000001	7051000	510030	""	-1	0	0	0
61003000	1	沐风带	6	0	10	45	610	0	-1	0	0	0	0	0	0	0	0	0	1	10000	1	0	1	0	0	0	100	10000	100	100	100	0	0	1	10	61003000	10011	1061000	18	2061000	0	0	0	0	0	0	0	2061001	9000001	7061000	0	""	-1	0	0	0
71003000	1	沐风裤	7	0	10	43	710	0	-1	0	0	0	0	0	0	0	0	0	1	10000	1	0	1	0	0	0	130	10000	100	100	100	0	0	1	10	71003000	10011	1071000	18	2071000	0	0	0	0	0	0	0	2071001	9000001	7071000	0	""	-1	0	0	0
81003000	1	沐风履	8	0	10	41	810	0	-1	0	0	0	0	0	0	0	0	0	1	10000	1	0	1	0	0	0	155	10000	100	100	100	0	0	1	10	81003000	10011	1081000	18	2081000	0	0	0	0	0	0	0	2081001	9000001	7081000	0	""	-1	0	0	0
91003000	0	沐风护腕	9	0	10	30	910	0	-1	0	0	0	0	0	0	0	0	0	1	10000	1	0	1	0	0	0	100	10000	100	100	100	0	0	1	10	91003000	10011	1091000	18	2091000	0	0	0	0	0	0	0	2091001	9000001	7091000	0	""	-1	0	0	0
101003000	1	沐风手套	10	0	10	32	1010	0	-1	0	0	0	0	0	0	0	0	0	1	10000	1	0	1	0	0	0	130	10000	100	100	100	0	0	1	10	101003000	10011	1101000	18	2101000	0	0	0	0	0	0	0	2101001	9000001	7101000	0	""	-1	0	0	0
111003000	1	破风[攻击]	11	0	10	30	1110	0	-1	0	0	0	0	0	0	0	0	0	1	10000	1	0	1	0	0	0	100	10000	100	100	100	0	0	1	10	111003000	10011	1111000	6	2111000	0	0	0	0	0	0	0	2111001	9000001	7111000	0	""	-1	0	0	0
1103010	1	凌霜	0	1	11	30	11	0	-1	0	0	0	0	0	0	0	0	0	1	10000	1	0	1	2	1	0	400	10000	100	100	100	1100010	0	2	11	1103010	10	1001000	23	2001000	1	1	13	0	0	Data/player/9weapon/030sword.nif	0	2001101	9000001	7001100	11030	""	350	0	0	0
1203010	1	霜音	0	1	12	30	12	0	-1	0	0	0	0	0	0	0	0	0	1	10000	1	0	1	2	1	0	400	10000	100	100	100	1100010	0	2	11	1203010	10	1001000	23	2001000	1	1	13	0	0	Data/player/9weapon/030piano.nif	21	2001201	9000001	7001200	12030	""	350	0	0	0
11003010	1	雪泣帽	1	1	10	34	110	0	-1	0	0	0	0	0	0	0	0	0	1	10000	1	0	9	0	1	0	220	10000	100	100	100	11100010	0	2	11	11003010	10011	1011000	23	2011000	1	1	17	0	0	Data/player/1kunlun/%s/030hair.nif	1	2011001	9000001	7011000	0	""	-1	0	0	0
21003010	1	映雪[攻击]	2	1	10	30	210	0	-1	0	0	0	0	0	0	0	0	0	1	10000	1	0	5	2	1	0	390	10000	100	100	100	21100010	0	2	11	21003010	10011	1021000	9	2021000	1	1	6	0	0	0	0	2021001	9000001	7021000	0	""	-1	0	0	0
31003010	1	雪恋[物防]	3	1	10	30	310	0	-1	0	0	0	0	0	0	0	0	0	1	10000	1	0	5	2	1	0	200	10000	100	100	100	31100010	0	2	11	31003010	10011	1031000	9	2031000	1	1	6	0	0	0	0	2031001	9000001	7031000	0	""	-1	0	0	0
41003010	1	雪泣护肩	4	1	10	42	410	0	-1	0	0	0	0	0	0	0	0	0	1	10000	1	0	9	0	1	0	320	10000	100	100	100	41100010	0	2	11	41003010	10011	1041000	23	2041000	1	1	17	0	0	Data/player/1kunlun/%s/030sdr.nif	4	2041001	9000001	7041000	0	""	-1	0	0	0
51003010	1	雪泣裳	5	1	10	36	510	0	-1	0	0	0	0	0	0	0	0	0	1	10000	1	0	1	2	1	0	290	10000	100	100	100	51100010	0	2	11	51003010	10011	1051000	23	2051000	1	1	13	0	0	Data/player/1kunlun/%s/030body.nif	5	2051001	9000001	7051000	510030	""	-1	0	0	0
61003010	1	雪泣带	6	1	10	45	610	0	-1	0	0	0	0	0	0	0	0	0	1	10000	1	0	1	2	1	0	200	10000	100	100	100	61100010	0	2	11	61003010	10011	1061000	23	2061000	1	1	13	0	0	0	0	2061001	9000001	7061000	0	""	-1	0	0	0
71003010	1	雪泣裤	7	1	10	43	710	0	-1	0	0	0	0	0	0	0	0	0	1	10000	1	0	1	2	1	0	260	10000	100	100	100	71100010	0	2	11	71003010	10011	1071000	23	2071000	1	1	13	0	0	0	0	2071001	9000001	7071000	0	""	-1	0	0	0
81003010	1	雪泣履	8	1	10	41	810	0	-1	0	0	0	0	0	0	0	0	0	1	10000	1	0	9	0	1	0	310	10000	100	100	100	81100010	0	2	11	81003010	10011	1081000	23	2081000	1	1	17	0	0	0	0	2081001	9000001	7081000	0	""	-1	0	0	0
91003010	0	雪泣护腕	9	1	10	30	910	0	-1	0	0	0	0	0	0	0	0	0	1	10000	1	0	9	2	1	0	200	10000	100	100	100	91100010	0	2	11	91003010	10011	1091000	23	2091000	1	1	17	0	0	0	0	2091001	9000001	7091000	0	""	-1	0	0	0
101003010	1	雪泣手套	10	1	10	32	1010	0	-1	0	0	0	0	0	0	0	0	0	1	10000	1	0	9	0	1	0	260	10000	100	100	100	101100010	0	2	11	101003010	10011	1101000	23	2101000	1	1	17	0	0	0	0	2101001	9000001	7101000	0	""	-1	0	0	0
